tool,f1,cer,bleu,ned
pdfminer,0.9229134284109893,0.15315559375011872,0.8428074080896091,0.1483203965275343
pdfplumber,0.876526705744254,0.09588322907843996,0.7929580059965842,0.09584099668032967
pymupdf,0.9214901904613217,0.1072073056259962,0.857896075253118,0.10626412163632173
