model,personal_info_score,education_precision,education_recall,education_f1,education_field_accuracy,experience_precision,experience_recall,experience_f1,experience_field_accuracy,publication_summary_score,highest_degree_score,overall_score
llama3.1_8b,0.8561612056378992,1.0,1.0,1.0,0.7986406584063847,1.0,0.8751984126984127,0.923992673992674,0.6744442364508048,0.6472931847848311,0.93,0.832933137038942
mistral_7b,0.792556373015696,0.8666666666666666,0.8266666666666665,0.8416666666666666,0.7532552774138528,0.85,0.7217857142857144,0.7533333333333333,0.7309929133130147,0.649489464078796,0.85,0.7573611528319131
qwen2.5_7b,0.7207208752446848,0.8666666666666666,0.8666666666666666,0.8666666666666666,0.8625196243998589,0.8142857142857143,0.8607142857142858,0.803021978021978,0.6405798956857508,0.7339414130995179,0.85,0.7621629287299851
