model,personal_info_score,education_precision,education_recall,education_f1,education_field_accuracy,experience_precision,experience_recall,experience_f1,experience_field_accuracy,publication_summary_score
llama3.1_8b,0.8489107973645412,0.78,0.78,0.78,0.7764852122027488,0.8375,0.9375,0.8375,0.6741268206195726,0.8687569676700111
mistral_7b,0.8942484926266927,0.72,0.72,0.72,0.686854410269418,0.8523809523809524,0.975,0.86,0.8306159976140413,0.8345975473801561
qwen2.5_7b,0.7488761702740591,0.8233333333333333,0.8233333333333333,0.8233333333333333,0.7342174449320601,0.7708333333333333,0.9375,0.7975,0.7442401310422184,0.9123528428093646
